juris_id,case_citations
127,23 phil. 584
127,g.r. no. 7842
127,512 phil. 560
127,g.r. no. 173473
127,g.r. no. 154155
127,g.r. no. 144542
127,g.r. no. 107211
127,g.r. no. 164763
127,g.r. no. 184645
128,g.r. no. 152459
128,g.r. no. 155731
128,g.r. no. 98368
128,g.r. no. 179652
128,g.r. no. 139876
128,g.r. no. 147816
128,g.r. no. 151228
128,g.r. no. 120466
128,g.r. no. 167648
128,g.r. no. 151818
129,g.r. no. 183444
129,g.r. no. 123346
129,68 phil. 481
129,447 phil. 306
129,g.r. no. 76422
129,81 phil. 622
129,g.r. no. 131544
129,g.r. no. 95398
129,g.r. no. 131544
130,230 phil. 528
130,517 phil. 23
130,230 phil. 528
130,329 phil. 987
130,518 phil. 668
130,521 phil. 73
130,517 phil. 23
130,329 phil. 987
130,g.r. no. 170463
130,355 phil. 181
130,94 phil. 208
130,207 n. 11
131,g.r. no. 146428
131,g.r. no. 55691
131,g.r. no. 152614
131,210 phil. 67
131,180 phil. 737
131,372 phil. 47
131,458 phil. 929
131,434 phil. 708
131,471 phil. 519
131,491 phil. 62
131,g.r. no. 85240
132,387 phil. 28
132,g.r. no. 152580
132,g.r. no. 86227
133,348 phil. 15
133,g.r. no. 149569
133,208 phil. 630
133,147 phil. 176
133,46 phil. 1
134,g.r. no. 176123
134,g.r. no. 118830
134,243 phil. 244
134,g.r. no. 118655
134,235 phil. 162
135,g.r. no. 158397
135,g.r. no. 179488
137,g.r. no. 102358
137,g.r. no. 179245
137,514 phil. 399
138,73 phil. 606
138,g.r. no. 112212
138,g.r. no. 146341
139,490 phil. 165
139,528 phil. 927
139,g.r. no. 164437
139,331 phil. 491
139,483 phil. 170
139,514 phil. 628
140,465 phil. 24
140,348 phil. 1
141,g.r. no. 147349
143,28 phil. 105
143,g.r. no. 156039
143,g.r. no. 182267
143,g.r. no. 167291
143,g.r. no. 103276
143,g.r. no. 160560
143,g.r. no. 66712
143,g.r. no. 106314
143,g.r. no. 118464
143,g.r. no. 118464
143,g.r. no. 160709
143,g.r. no. 143027
143,g.r. no. 126780
144,325 phil. 66
144,437 phil. 525
144,416 phil. 438
144,513 phil. 557
145,g.r. no. 144464
146,14 sept. 1998
146,g.r. no. 121975
146,g.r. no. 53515
147,248 par. 1
147,g.r. no. 179189
147,g.r. no. 169432
147,g.r. no. 177569
147,g.r. no. 186101
147,g.r. no. 94785
147,g.r. no. 184603
147,g.r. no. 94570
147,118 p. 2
147,440 a.2
147,g.r. no. 74740
147,335 ill. 164
147,g.r. no. 177743
147,g.r. no. 132351
147,g.r. no. 133439
147,g.r. no. 187682
147,g.r. no. 137842
147,g.r. no. 188353
148,g.r. no. 102007
149,447 phil. 444
149,519 phil. 226
150,g.r. no. 146277
150,g.r. no. 172953
150,g.r. no. 186390
150,g.r. no. 179213
150,g.r. no. 182790
150,g.r. no. 185715
150,g.r. no. 184954
150,g.r. no. 191366
150,g.r. no. 186498
151,g.r. no. 183094
151,g.r. no. 79089
151,458 phil. 965
151,449 phil. 778
151,g.r. no. 123939
151,395 phil. 371
151,423 phil. 363
151,390 phil. 379
151,356 phil. 510
151,430 phil. 475
151,405 phil. 698
151,450 phil. 481
151,450 phil. 449
151,355 phil. 1
151,369 phil. 191
151,g.r. no. 168050
151,364 phil. 259
151,97 phil. 975
151,g.r. no. 63480
151,109 phil. 607
151,122 phil. 55
151,181 phil. 285
151,185 phil. 362
151,190 phil. 117
151,336 phil. 771
151,g.r. no. 184173
151,365 phil. 640
151,g.r. no. 170471
151,g.r. no. 188602
151,452 phil. 283
151,g.r. no. 180594
152,g.r. no. 165408
153,g.r. no. 180511
154,g.r. no. 155622
154,g.r. no. 159786
154,g.r. no. 163344
154,341 phil. 99
154,g.r. no. 191388
155,g.r. no. 156052
155,g.r. no. 186487
155,g.r. no. 150270
155,g.r. no. 170599
155,g.r. no. 180388
155,g.r. no. 177130
155,111 phil. 1049
156,g.r. no. 195909
156,g.r. no. 195960
156,g.r. no. 195909
156,g.r. no. 195909
156,g.r. no. 195960
156,g.r. no. 195909
156,g.r. no. 195909
156,g.r. no. 195909
156,g.r. no. 195909
156,123 phil. 38
156,95 phil. 16
156,g.r. no. 195909
156,410 phil. 241
156,g.r. no. 195960
156,g.r. no. 195960
156,g.r. no. 195909
156,g.r. no. 195909
156,115 phil. 310
156,g.r. no. 144104
156,493 phil. 785
156,g.r. no. 195909
156,g.r. no. 195909
156,533 phil. 101
157,g.r. no. 183357
