source,citation
juris_1417,91 phil. 913
juris_1417,472 phil. 75
juris_1439,g.r. no. 92813
juris_1442,g.r. no. 27876
juris_1442,g.r. no. 21549
juris_1442,109 phil. 181
juris_1460,g.r. no. 160176
juris_1460,g.r. no. 160176
juris_1460,g.r. no. 160176
juris_1460,g.r. no. 160176
juris_1460,g.r. no. 160176
juris_1460,g.r. no. 160176
juris_1466,g.r. no. 169669
juris_1466,g.r. no. 169669
juris_1475,g.r. no. 34080
juris_1479,387 phil. 256
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 143358
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 158700
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 158700
juris_1479,g.r. no. 158700
juris_1479,g.r. no. 155840
juris_1479,g.r. no. 155840
juris_1482,g.r. no. 28915
juris_1490,g.r. no. 165733
juris_1497,469 phil. 535
juris_1500,26 f. 3
juris_1508,g.r. no. 79242
juris_1513,g.r. no. 48886
juris_1514,g.r. no. 166295
juris_1517,g.r. no. 34080
juris_1521,g.r. no. 166195
juris_1528,g.r. no. 44712
juris_1528,g.r. no. 147812
juris_1547,g.r. no. 122258
juris_1560,g.r. no. 41696
juris_1560,g.r. no. 130752
juris_1560,g.r. no. 41696
juris_1560,g.r. no. 130752
juris_1560,g.r. no. 43458
juris_1560,g.r. no. 137801
juris_1585,g.r. no. 35652
juris_1591,315 par. 1
juris_1594,"55
phil. 13"
juris_1595,332 phil. 21
juris_1595,10 wheat. 1
juris_1602,g.r. no. 45355
juris_1603,g.r. no. 45262
juris_1613,g.r. no. 63614
juris_1614,g.r. no. 139365
juris_1614,g.r. no. 139365
juris_1619,339 phil. 219
juris_1629,45 phil. 807
juris_1633,g.r. no. 145232
juris_1639,90 colo. 177
juris_1651,g.r. no. 23731
juris_1671,g.r. no. 113851
juris_1677,184 phil. 419
juris_1677,334 phil. 146
juris_1697,582 phil. 459
juris_1700,212 la.886
juris_1705,46 phil. 509
juris_1705,19 phil. 494
juris_1705,19 phil. 494
juris_1720,355 a.2
juris_1729,196 wis. 427
juris_1729,10 wheat. 1
juris_1730,g.r. no. 142409
juris_1730,g.r. no. 1045676
juris_1731,76 phil. 209
juris_1734,g.r. no. 168925
juris_1735,84 phil. 127
juris_1739,g.r. no. 110661
juris_1739,g.r. no. 118050
juris_1739,g.r. no. 110661
juris_1739,g.r. no. 92860
juris_1741,341 ark. 317
juris_1750,g.r. no. 34080
juris_1764,g.r. no. 143476
juris_1780,g.r. no. 118515
juris_1785,g.r. no. 92592
juris_1785,167 misc. 338
juris_1795,72 phil. 278
juris_1795,g.r. no. 44980
juris_1797,g.r. no. 49410
juris_1809,27 sept. 1999
juris_1814,g.r. no. 89870
juris_1814,g.r. no. 151372
juris_1815,g.r. no. 38984
juris_1820,57 phil. 325
juris_1830,g.r. no. 49188
juris_1836,g.r. no. 78623
juris_1838,86 phil. 752
juris_1840,g.r. no. 147762
juris_1843,g.r. no. 151208
juris_1845,g.r. no. 130498
juris_1849,454 phil. 812
juris_1849,101 phil. 1262
juris_1854,g.r. no. 170602
juris_1861,g.r. no. 162928
juris_1861,g.r. no. 162928
juris_1861,g.r. no. 162928
juris_1861,g.r. no. 162928
juris_1870,72 phil. 278
juris_1871,g.r. no. 44980
juris_1875,453 phi. 577
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1884,g.r. no. 163979
juris_1885,g.r. no. 163568
juris_1885,g.r. no. 1320214
juris_1888,454 phil. 256
juris_1892,g.r. no. 48239
juris_1897,117 phil. 340
juris_1897,69 phil. 642
juris_1900,g.r. no. 75109
juris_1904,g.r. no. 170144
juris_1904,g.r. no. 170144
juris_1909,123 phil. 191
juris_1915,g.r. no. 122166
juris_1919,g.r. no. 36827
juris_1921,g.r. no. 87806
juris_1923,g.r. no. 100366
juris_1923,g.r. no. 110667
juris_1923,g.r. no. 110677
juris_1949,g.r. no. 57963
juris_1949,g.r. no. 157505
juris_1949,g.r. no. 57963
juris_1949,g.r. no. 62534
juris_1949,g.r. no. 57963
juris_1949,g.r. no. 157505
juris_1949,g.r. no. 62534
juris_1953,g.r. no. 126467
juris_1953,135 wash. 2
juris_1955,g.r. no. 150146
juris_1958,16 phil. 418
juris_1959,237 phil. 353
juris_1962,333 phil.  1
juris_1962,373 phil.  386
juris_1962,392 phil.  618
juris_1973,406 phil. 839
juris_1975,g.r. no. 149507
juris_1979,g.r. no. 162554
juris_1979,g.r. no. 162554
juris_1987,g.r. no. 174063
juris_1991,g.r. no. 171163
juris_1992,487 f. 2
juris_1994,g.r. no. 180510
juris_1994,g.r. no. 180510
juris_1996,6 mos. 1
juris_2006,354 phil. 697
juris_2007,g.r. no. 124967
juris_2018,g.r. no. 118838
juris_2020,52 phil. 347
juris_2024,338 phil. 913
juris_2036,263 par. 4
juris_2045,g.r. no. 90231
juris_2045,g.r. no. 158944
juris_2045,g.r. no. 158944
juris_2045,g.r. no. 158944
juris_2045,g.r. no. 158944
juris_2045,g.r. no. 158944
juris_2054,g.r. no. 43972
juris_2077,g.r. no. 138820
juris_2083,326 phil. 184
juris_2085,g.r. no. 179275
juris_2085,g.r. no. 179275
juris_2088,g.r. no. 114712
juris_2097,47 cal. 2
juris_2097,g.r. no. 149572
juris_2097,g.r. no. 149572
juris_2103,g.r. no. 41968
juris_2110,874 so. 2
juris_2121,g.r. no. 36786
juris_2135,g.r. no. 166845
juris_2136,g.r. no. 140655
juris_2138,g.r. no. 133757
juris_2147,g.r. no. 78229
juris_2152,g.r. no. 75109
juris_2152,51 phil. 781
juris_2164,210 p. 2
juris_2172,77 phil. 636
juris_2175,g.r. no. 113199
juris_2175,g.r. no. 113199
juris_2175,g.r. no. 113199
juris_2175,g.r. no. 113199
juris_2175,g.r. no. 113199
juris_2175,g.r. no. 113199
juris_2201,g.r. no. 40145
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 161117
juris_2202,g.r. no. 167827
juris_2202,g.r. no. 167827
juris_2205,g.r. no. 160562
juris_2207,g.r. no. 172750
juris_2207,g.r. no. 172750
juris_2210,327 phil. 649
juris_2234,60 phil. 712
juris_2241,g.r. no. 124275
juris_2241,g.r. no. 124275
juris_2241,g.r. no. 124275
juris_2244,g.r. no. 165584
juris_2244,g.r. no. 165731
juris_2244,g.r. no. 165731
juris_2244,g.r. no. 165584
juris_2244,g.r. no. 165584
juris_2246,g.r. no. 137655
juris_2248,614 so. 2
juris_2254,g.r. no. 57936
juris_2270,g.r. no. 147688
juris_2275,21 dec. 1992
juris_2275,207 phil. 2235
juris_2287,329 phil. 227
juris_2288,g.r. no. 121245
juris_2294,g.r. no. 168628
juris_2297,g.r. no. 155317
juris_2297,g.r. no. 155317
juris_2299,9 cal. 502
juris_2305,322 phil. 97
juris_2306,g.r. no. 164999
juris_2311,g.r. no. 39120
juris_2312,g.r. no. 77965
juris_2312,g.r. no. 77965
juris_2312,g.r. no. 77965
juris_2320,292 f. 491
juris_2320,224 p. 991
juris_2320,1 so. 2
juris_2320,1 a.2
juris_2320,329 p. 2
juris_2321,g.r. no. 129130
juris_2325,g.r. no. 145846
juris_2328,g.r. no. 171163
juris_2336,443 phil. 53
juris_2339,g.r. no. 171163
juris_2345,g.r. no. 138132
juris_2348,g.r. no. 69622
juris_2350,440 phil. 228
juris_2351,g.r. no. 162227
juris_2360,g.r. no. 137940
juris_2368,g.r. no. 161930
juris_2368,g.r. no. 161930
juris_2368,g.r. no. 161930
juris_2373,110 wis. 2
juris_2373,331 f. 2
juris_2376,g.r. no. 172379
juris_2377,g.r. no. 171369
juris_2387,44 or. 14
juris_2390,417 phil. 537
juris_2396,g.r. no. 131963
juris_2396,g.r. no. 85922
juris_2410,48 phil. 178
juris_2410,62 phil. 570
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,g.r. no. 116935
juris_2431,392 phil. 597
juris_2431,g.r. no. 116935
juris_2439,298 phil. 315
juris_2444,g.r. no. 46658
juris_2444,g.r. no. 166459
juris_2457,g.r. no. 144948
juris_2457,348 phil. 910
juris_2457,g.r. no. 144948
juris_2461,31 cal. 4
juris_2461,253 ga.70
juris_2466,g.r. no. 34613
juris_2479,g.r. no. 179132
juris_2479,g.r. no. 179120
juris_2479,g.r. no. 179132
juris_2479,g.r. no. 179240
juris_2479,g.r. no. 179120
juris_2494,g.r. no. 168897
juris_2497,8 no. 3
juris_2514,g.r. no. 170092
juris_2516,g.r. no. 78309
juris_2518,g.r. no. 155900
juris_2519,178 phil. 579
juris_2523,g.r. no. 174067
juris_2538,322 phil. 193
juris_2538,485 phil. 636
juris_2543,443 phil. 429
juris_2548,g.r. no. 132435
juris_2557,8 so. 23
juris_2557,g.r. no. 117833
juris_2571,g.r. no. 72572
juris_2579,2000 pp. 8
juris_2596,g.r. no. 182020
juris_2596,g.r. no. 182020
juris_2596,g.r. no. 182020
juris_2596,g.r. no. 182020
juris_2596,g.r. no. 182020
juris_2598,g.r. no. 144885
juris_2600,g.r. no. 1745636
juris_2616,407 phil. 619
juris_2617,g.r. no. 136795
juris_2619,g.r. no. 161807
juris_2620,g.r. no. 54904
juris_2624,g.r. no. 70717
juris_2627,236 phil. 236
juris_2632,g.r. no. 60672
juris_2632,g.r. no. 60672
juris_2640,112 phil. 507
juris_2646,468 phil. 131
juris_2648,g.r. no. 99355
juris_2648,416 phil. 364
juris_2648,88 phil. 784
juris_2651,g.r. no. 173163
juris_2651,g.r. no. 173163
juris_2655,469 phil. 830
juris_2662,115 phil. 105
juris_2666,g.r. no. 36786
juris_2674,329 phil. 433
juris_2703,101 phil. 561
juris_2706,g.r. no. 49839
juris_2709,g.r. no. 58237
juris_2720,g.r. no. 175702
juris_2722,g.r. no. 170705
juris_2722,g.r. no. 170705
juris_2722,g.r. no. 170705
juris_2734,453 phil. 326
juris_2741,g.r. no. 159286
juris_2744,g.r. no. 18060
juris_2746,g.r. no. 157359
juris_2746,g.r. no. 157359
juris_2746,g.r. no. 158644
juris_2746,g.r. no. 157359
juris_2746,g.r. no. 158644
juris_2746,g.r. no. 158644
juris_2748,88 phil. 477
juris_2753,g.r. no. 90104
juris_2754,393 phil. 493
juris_2760,453 phil. 10131
juris_2763,2001 p. 8
